418.35,0
428.44,0.01273
437.92,0.032532
449.54,0.070721
457.8,0.10184
466.97,0.14569
477.06,0.20934
483.18,0.27157
488.99,0.33946
493.88,0.3918
498.47,0.43989
504.28,0.49929
507.95,0.5488
512.84,0.64074
516.51,0.73126
519.88,0.8232
523.55,0.90948
525.38,0.95191
527.22,0.97595
527.83,0.98727
529.66,0.99859
530.58,1
532.42,0.99576
533.64,0.9802
535.47,0.95191
537.92,0.8925
541.59,0.77086
545.26,0.63649
548.93,0.49788
555.35,0.31117
561.16,0.20368
564.22,0.16407
567.89,0.13013
572.78,0.10467
578.59,0.083451
588.07,0.06082
603.36,0.041018
620.49,0.02546
646.79,0.011315
670.64,0.0028289
700,0
